Resale Price (RM),Brand Make,Model,Year of Manufacturer,Mileage (KM),Condition,Petrol Type,Transmission Type
92160,Mazda,CX-5,2021,63828,Good,Petrol,Automatic
141264,Mazda,Mazda3,2024,21494,Excellent,Petrol,Automatic
102098,Nissan,Navara,2024,19644,Excellent,Petrol,Manual
141610,Nissan,X-Trail,2024,19678,Excellent,Petrol,Automatic
20203,Nissan,Almera,2017,187760,Fair,Petrol,CVT
244971,Lexus,RX,2022,66927,Good,Hybrid,Automatic
35390,Mazda,Mazda2,2019,72114,Fair,Petrol,Automatic
98006,Lexus,IS,2019,165348,Good,Hybrid,Automatic
50288,Nissan,Serena,2019,117486,Fair,Petrol,Automatic
96856,Toyota,Camry,2020,93530,Good,Hybrid,Automatic
66164,Lexus,IS,2017,98648,Fair,Hybrid,Automatic
96476,Nissan,X-Trail,2022,67428,Good,Petrol,Automatic
68989,Honda,Jazz,2023,42992,Very Good,Petrol,Automatic
50528,Toyota,Yaris,2021,57600,Very Good,Petrol,Automatic
79044,Lexus,NX,2016,129402,Fair,Hybrid,Automatic
56655,Mazda,Mazda6,2018,92792,Fair,Petrol,Automatic
155102,Lexus,RX,2020,113150,Fair,Petrol,Automatic
20809,Nissan,Almera,2017,147232,Fair,Petrol,Automatic
25582,Mazda,Mazda3,2014,176330,Fair,Petrol,Automatic
115779,Lexus,NX,2019,161742,Fair,Petrol,Automatic
32283,Honda,Jazz,2018,105091,Good,Petrol,CVT
234937,Lexus,NX,2022,36666,Very Good,Petrol,Automatic
97584,Toyota,Hilux,2023,35948,Excellent,Petrol,Manual
65797,Mazda,Mazda2,2022,76566,Very Good,Petrol,Automatic
135920,Nissan,X-Trail,2024,27620,Excellent,Petrol,Automatic
47913,Toyota,Hilux,2020,136175,Fair,Diesel,Automatic
66053,Mazda,Mazda3,2021,107332,Fair,Petrol,Automatic
281328,Lexus,ES,2024,14014,Excellent,Petrol,Automatic
126793,Toyota,Fortuner,2022,45261,Very Good,Diesel,Automatic
70059,Lexus,IS,2017,185080,Good,Hybrid,Automatic
122518,Honda,Civic,2024,16951,Excellent,Petrol,Automatic
54869,Honda,HR-V,2020,62575,Good,Petrol,Automatic
326352,Lexus,RX,2023,26290,Excellent,Petrol,Automatic
50031,Toyota,Yaris,2021,80144,Very Good,Petrol,Automatic
77833,Nissan,X-Trail,2021,105496,Good,Petrol,Automatic
127885,Nissan,Serena,2024,14839,Excellent,Petrol,Automatic
320948,Lexus,RX,2023,25844,Excellent,Hybrid,Automatic
372238,Lexus,RX,2024,26445,Excellent,Hybrid,Automatic
83029,Nissan,X-Trail,2021,96580,Very Good,Petrol,Automatic
134033,Toyota,Fortuner,2022,41922,Very Good,Diesel,Manual
64012,Toyota,Hilux,2020,71230,Very Good,Diesel,Automatic
87185,Honda,City,2024,19067,Excellent,Petrol,CVT
56027,Honda,CR-V,2019,154494,Fair,Petrol,Automatic
124825,Lexus,NX,2018,121541,Good,Petrol,Automatic
33689,Mazda,Mazda2,2019,98622,Fair,Petrol,Automatic
14680,Toyota,Yaris,2015,275290,Fair,Petrol,Automatic
108301,Mazda,Mazda6,2021,58084,Very Good,Petrol,Automatic
61061,Honda,BR-V,2022,80901,Good,Petrol,Automatic
47729,Honda,Jazz,2021,99680,Good,Petrol,CVT
25726,Mazda,Mazda2,2017,125920,Fair,Petrol,Automatic
176857,Honda,Accord,2024,20378,Excellent,Petrol,Automatic
63850,Honda,Accord,2018,128093,Good,Hybrid,Automatic
86523,Toyota,Corolla,2022,63339,Very Good,Petrol,Automatic
365777,Lexus,RX,2024,25636,Excellent,Hybrid,Automatic
95226,Honda,Accord,2021,79876,Good,Petrol,Automatic
70650,Honda,Accord,2020,139905,Fair,Petrol,Automatic
36715,Toyota,Hilux,2018,93905,Fair,Petrol,Automatic
240954,Lexus,IS,2024,19136,Excellent,Hybrid,Automatic
23020,Toyota,Vios,2016,110817,Fair,Petrol,CVT
180719,Lexus,NX,2021,102896,Good,Petrol,Automatic
147550,Mazda,CX-5,2024,18603,Excellent,Petrol,Automatic
36804,Honda,City,2019,155736,Good,Petrol,CVT
117294,Lexus,ES,2020,108090,Fair,Petrol,Automatic
125125,Honda,Civic,2024,25682,Excellent,Petrol,Automatic
118327,Mazda,Mazda3,2023,28070,Excellent,Petrol,Automatic
80612,Honda,Jazz,2024,18015,Excellent,Petrol,CVT
17214,Honda,Jazz,2016,119844,Poor,Petrol,CVT
63738,Honda,CR-V,2020,108925,Fair,Petrol,Automatic
84301,Toyota,Yaris,2024,13484,Excellent,Petrol,Automatic
65416,Mazda,CX-5,2019,93186,Good,Petrol,Automatic
119088,Lexus,ES,2020,123325,Fair,Hybrid,Automatic
81790,Lexus,IS,2018,195349,Good,Hybrid,Automatic
65747,Toyota,Fortuner,2019,125274,Fair,Diesel,Automatic
55194,Honda,City,2022,70995,Good,Petrol,Automatic
78728,Toyota,Fortuner,2020,115760,Fair,Petrol,Manual
63218,Toyota,Corolla,2020,107120,Good,Petrol,CVT
191379,Lexus,RX,2020,134720,Good,Petrol,Automatic
18503,Mazda,Mazda2,2015,207600,Fair,Petrol,Automatic
87472,Toyota,Hilux,2023,54336,Good,Diesel,Manual
25379,Toyota,Yaris,2018,157801,Fair,Petrol,Automatic
111842,Mazda,Mazda6,2022,82308,Good,Petrol,Automatic
61070,Honda,Civic,2020,80910,Good,Petrol,CVT
145902,Honda,CR-V,2024,17554,Excellent,Petrol,Automatic
121194,Mazda,CX-5,2023,45284,Good,Petrol,Automatic
48047,Nissan,Navara,2020,129210,Good,Diesel,Manual
61755,Nissan,Navara,2021,91540,Good,Diesel,Automatic
166167,Lexus,NX,2020,95330,Good,Hybrid,Automatic
299131,Lexus,ES,2024,17478,Excellent,Petrol,Automatic
46059,Toyota,Yaris,2021,88648,Good,Petrol,Automatic
53676,Honda,Accord,2018,170751,Fair,Hybrid,Automatic
86323,Mazda,Mazda6,2021,100280,Fair,Petrol,Automatic
233252,Lexus,IS,2024,13074,Excellent,Petrol,Automatic
238667,Lexus,RX,2021,70064,Very Good,Petrol,Automatic
79900,Honda,Jazz,2024,16151,Excellent,Petrol,CVT
122355,Nissan,X-Trail,2023,27376,Excellent,Petrol,Automatic
73513,Honda,HR-V,2022,69081,Good,Petrol,Automatic
88073,Honda,City,2024,24048,Excellent,Petrol,Automatic
48495,Honda,BR-V,2020,73065,Good,Petrol,Automatic
36906,Toyota,Yaris,2019,115362,Good,Petrol,Automatic
118151,Toyota,Hilux,2024,19835,Excellent,Diesel,Automatic
29163,Mazda,CX-5,2014,143374,Fair,Petrol,Automatic
26931,Honda,Accord,2015,240050,Poor,Petrol,Automatic
32795,Toyota,Hilux,2017,202528,Good,Diesel,Manual
29252,Nissan,X-Trail,2016,111267,Poor,Petrol,Automatic
52698,Honda,CR-V,2017,115800,Good,Petrol,Automatic
124536,Toyota,Fortuner,2022,49563,Very Good,Petrol,Automatic
93355,Nissan,Navara,2023,29752,Excellent,Diesel,Manual
33066,Honda,BR-V,2018,186431,Good,Petrol,Automatic
194828,Toyota,Camry,2024,23808,Excellent,Petrol,Automatic
373476,Lexus,RX,2024,26202,Excellent,Petrol,Automatic
282107,Lexus,RX,2023,44670,Good,Petrol,Automatic
43219,Honda,BR-V,2020,108380,Good,Petrol,Automatic
21899,Honda,BR-V,2017,214744,Fair,Petrol,Automatic
37775,Mazda,CX-5,2017,208424,Fair,Petrol,Automatic
154495,Lexus,ES,2020,66755,Good,Hybrid,Automatic
153019,Lexus,ES,2020,87240,Very Good,Hybrid,Automatic
87490,Lexus,IS,2018,127120,Good,Hybrid,Automatic
81322,Toyota,Vios,2023,32574,Excellent,Petrol,Automatic
119843,Toyota,Corolla,2024,22391,Excellent,Petrol,CVT
45580,Honda,Civic,2019,136332,Fair,Petrol,Automatic
74531,Mazda,Mazda3,2020,60125,Good,Petrol,Automatic
287580,Lexus,ES,2024,21862,Excellent,Hybrid,Automatic
135971,Honda,Accord,2023,53146,Very Good,Hybrid,Automatic
225000,Lexus,IS,2024,21745,Excellent,Hybrid,Automatic
109005,Mazda,Mazda6,2021,65184,Very Good,Petrol,Automatic
58807,Lexus,NX,2014,176803,Fair,Hybrid,Automatic
94897,Mazda,Mazda3,2022,39948,Good,Petrol,Automatic
59826,Honda,HR-V,2020,67465,Very Good,Petrol,Automatic
19195,Toyota,Vios,2016,229941,Fair,Petrol,CVT
74119,Nissan,Almera,2024,26995,Excellent,Petrol,Automatic
28218,Honda,Jazz,2017,96144,Good,Petrol,Automatic
67628,Honda,Jazz,2023,55516,Very Good,Petrol,Automatic
113560,Mazda,Mazda3,2023,44478,Very Good,Petrol,Automatic
132164,Mazda,Mazda3,2024,25826,Excellent,Petrol,Automatic
44504,Toyota,Yaris,2020,66025,Very Good,Petrol,Automatic
73904,Mazda,CX-5,2020,103785,Good,Petrol,Automatic
15539,Toyota,Vios,2015,124600,Poor,Petrol,CVT
57978,Nissan,Almera,2023,49280,Good,Petrol,Automatic
88101,Toyota,Vios,2024,17887,Excellent,Petrol,CVT
89099,Honda,Civic,2022,63780,Very Good,Petrol,Automatic
173839,Lexus,ES,2021,65980,Good,Hybrid,Automatic
56099,Honda,BR-V,2021,94900,Very Good,Petrol,Automatic
197575,Lexus,ES,2022,37821,Good,Hybrid,Automatic
55125,Lexus,ES,2016,203634,Poor,Petrol,Automatic
61256,Honda,Civic,2020,121400,Good,Petrol,Automatic
137820,Toyota,Camry,2022,73293,Very Good,Petrol,Automatic
32075,Mazda,Mazda6,2016,188163,Poor,Petrol,Automatic
104262,Honda,CR-V,2022,68451,Good,Petrol,Automatic
128613,Mazda,CX-5,2023,33606,Excellent,Petrol,Automatic
26191,Toyota,Vios,2018,176022,Fair,Petrol,Automatic
97769,Mazda,Mazda6,2021,109136,Good,Petrol,Automatic
129003,Nissan,Serena,2024,16540,Excellent,Petrol,Automatic
135932,Lexus,IS,2021,82940,Good,Hybrid,Automatic
60593,Toyota,Fortuner,2017,122472,Good,Petrol,Manual
55076,Nissan,Navara,2020,82125,Very Good,Diesel,Automatic
102720,Honda,CR-V,2022,68814,Good,Petrol,Automatic
77105,Honda,HR-V,2022,58836,Very Good,Petrol,Automatic
91935,Nissan,Serena,2022,62622,Very Good,Petrol,Automatic
63347,Toyota,Camry,2018,125895,Fair,Petrol,Automatic
135307,Lexus,RX,2018,151151,Good,Petrol,Automatic
32278,Toyota,Vios,2019,121668,Fair,Petrol,CVT
40195,Mazda,CX-5,2017,165136,Fair,Petrol,Automatic
154077,Lexus,ES,2020,65935,Very Good,Petrol,Automatic
56390,Mazda,Mazda3,2020,120925,Fair,Petrol,Automatic
390828,Lexus,RX,2024,12609,Excellent,Hybrid,Automatic
234660,Lexus,RX,2021,99032,Very Good,Hybrid,Automatic
140160,Mazda,Mazda3,2024,24890,Excellent,Petrol,Automatic
29529,Honda,BR-V,2017,130544,Good,Petrol,Automatic
238706,Lexus,ES,2023,41942,Very Good,Hybrid,Automatic
74299,Nissan,X-Trail,2020,60815,Very Good,Petrol,Automatic
11790,Honda,Jazz,2014,209946,Poor,Petrol,Automatic
55608,Honda,CR-V,2019,158976,Fair,Petrol,Automatic
13974,Nissan,Almera,2016,233343,Poor,Petrol,CVT
90027,Nissan,Navara,2023,34150,Excellent,Petrol,Manual
108160,Lexus,RX,2017,121872,Fair,Petrol,Automatic
145757,Lexus,NX,2019,123978,Good,Hybrid,Automatic
35968,Toyota,Hilux,2018,151963,Fair,Diesel,Manual
61377,Toyota,Vios,2022,57255,Good,Petrol,CVT
24860,Nissan,Almera,2018,96194,Fair,Petrol,Automatic
25046,Nissan,X-Trail,2015,133120,Poor,Petrol,Automatic
38977,Nissan,Almera,2020,87890,Good,Petrol,CVT
32959,Mazda,Mazda3,2016,162315,Fair,Petrol,Automatic
38818,Toyota,Hilux,2018,91721,Fair,Diesel,Automatic
40713,Nissan,Serena,2018,190407,Fair,Petrol,Automatic
132993,Toyota,Camry,2022,39834,Good,Petrol,Automatic
12371,Nissan,Almera,2015,235900,Poor,Petrol,CVT
56841,Toyota,Fortuner,2017,181528,Good,Diesel,Automatic
37999,Honda,Civic,2018,176491,Fair,Petrol,Automatic
152608,Mazda,CX-5,2024,14265,Excellent,Petrol,Automatic
67547,Mazda,Mazda2,2023,42900,Good,Petrol,Automatic
71886,Toyota,Yaris,2023,25992,Excellent,Petrol,Automatic
63221,Nissan,Serena,2021,103184,Fair,Petrol,Automatic
29569,Toyota,Hilux,2017,214856,Fair,Diesel,Automatic
81584,Mazda,Mazda2,2023,28182,Excellent,Petrol,Automatic
78137,Honda,Jazz,2024,25836,Excellent,Petrol,CVT
70877,Honda,Civic,2021,110532,Good,Petrol,Automatic
79494,Toyota,Vios,2023,25410,Excellent,Petrol,Automatic
110542,Mazda,Mazda3,2023,43372,Very Good,Petrol,Automatic
213658,Lexus,RX,2021,68824,Good,Hybrid,Automatic
55609,Mazda,CX-5,2018,142737,Good,Petrol,Automatic
30600,Honda,Civic,2016,157572,Fair,Petrol,Automatic
265976,Lexus,RX,2022,40146,Good,Hybrid,Automatic
78342,Toyota,Vios,2023,37856,Excellent,Petrol,CVT
241371,Lexus,NX,2022,41439,Very Good,Hybrid,Automatic
100220,Mazda,Mazda3,2022,63744,Very Good,Petrol,Automatic
137982,Toyota,Fortuner,2023,52556,Good,Diesel,Manual
18524,Honda,City,2016,200880,Fair,Petrol,Automatic
151424,Lexus,ES,2020,84690,Good,Petrol,Automatic
29928,Toyota,Yaris,2019,96540,Fair,Petrol,Automatic
43827,Mazda,Mazda2,2020,100815,Good,Petrol,Automatic
128801,Nissan,Serena,2024,15089,Excellent,Petrol,Automatic
212533,Lexus,NX,2021,66036,Very Good,Petrol,Automatic
29302,Honda,Jazz,2018,167937,Good,Petrol,Automatic
102853,Nissan,X-Trail,2022,75027,Very Good,Petrol,Automatic
192158,Lexus,ES,2022,41709,Good,Hybrid,Automatic
86782,Nissan,Serena,2021,58924,Very Good,Petrol,Automatic
111271,Honda,HR-V,2024,23270,Excellent,Petrol,Automatic
33405,Toyota,Yaris,2019,160362,Good,Petrol,Automatic
99370,Mazda,Mazda3,2022,63531,Very Good,Petrol,Automatic
159751,Lexus,IS,2022,51525,Good,Petrol,Automatic
120918,Nissan,X-Trail,2023,35192,Excellent,Petrol,Automatic
49419,Mazda,Mazda3,2018,168322,Good,Petrol,Automatic
19765,Honda,Civic,2014,138688,Poor,Petrol,CVT
112304,Mazda,Mazda6,2022,41172,Good,Petrol,Automatic
272453,Lexus,ES,2024,19800,Excellent,Hybrid,Automatic
20835,Toyota,Hilux,2016,216918,Poor,Diesel,Manual
92333,Mazda,Mazda6,2020,61345,Very Good,Petrol,Automatic
86234,Mazda,Mazda3,2021,54448,Very Good,Petrol,Automatic
75243,Nissan,X-Trail,2020,78970,Good,Petrol,Automatic
116833,Mazda,Mazda3,2023,45428,Very Good,Petrol,Automatic
121527,Mazda,Mazda6,2022,36690,Very Good,Petrol,Automatic
170866,Lexus,NX,2020,96795,Good,Hybrid,Automatic
26867,Nissan,X-Trail,2016,211527,Poor,Petrol,Automatic
104857,Nissan,Navara,2024,22013,Excellent,Petrol,Automatic
72152,Lexus,NX,2015,134140,Fair,Hybrid,Automatic
59349,Honda,City,2022,79770,Very Good,Petrol,Automatic
26116,Toyota,Yaris,2018,139146,Fair,Petrol,Automatic
40167,Nissan,Almera,2020,88790,Good,Petrol,CVT
68167,Nissan,X-Trail,2020,98015,Good,Petrol,Automatic
123112,Mazda,CX-5,2023,52264,Very Good,Petrol,Automatic
115315,Lexus,NX,2018,163576,Good,Petrol,Automatic
103598,Mazda,Mazda6,2021,89048,Very Good,Petrol,Automatic
55914,Mazda,CX-5,2019,117222,Fair,Petrol,Automatic
47458,Toyota,Hilux,2019,143382,Good,Petrol,Automatic
136170,Lexus,NX,2019,132678,Good,Hybrid,Automatic
112936,Toyota,Fortuner,2021,70756,Very Good,Diesel,Manual
63459,Nissan,Almera,2023,48446,Very Good,Petrol,Automatic
169418,Lexus,ES,2021,60376,Very Good,Petrol,Automatic
60905,Lexus,NX,2016,217656,Poor,Hybrid,Automatic
156025,Lexus,IS,2022,82290,Very Good,Hybrid,Automatic
101238,Honda,CR-V,2022,46410,Good,Petrol,Automatic
74441,Nissan,Almera,2024,26996,Excellent,Petrol,CVT
115081,Honda,Accord,2022,79323,Good,Hybrid,Automatic
51588,Lexus,ES,2015,142920,Poor,Hybrid,Automatic
185106,Lexus,RX,2020,90190,Good,Petrol,Automatic
289783,Lexus,NX,2023,25634,Excellent,Hybrid,Automatic
140714,Lexus,NX,2019,112260,Good,Hybrid,Automatic
76875,Nissan,X-Trail,2020,63470,Good,Petrol,Automatic
26104,Nissan,Navara,2016,114822,Fair,Petrol,Manual
109309,Honda,Accord,2022,75552,Good,Hybrid,Automatic
131993,Lexus,NX,2019,86856,Fair,Hybrid,Automatic
60423,Honda,Civic,2021,100500,Fair,Petrol,CVT
330398,Lexus,NX,2024,13033,Excellent,Petrol,Automatic
56304,Nissan,Almera,2023,52032,Good,Petrol,CVT
297222,Lexus,ES,2024,14744,Excellent,Hybrid,Automatic
56944,Nissan,Almera,2022,36249,Very Good,Petrol,Automatic
243895,Lexus,ES,2023,40556,Very Good,Hybrid,Automatic
26032,Mazda,Mazda2,2017,118376,Fair,Petrol,Automatic
110871,Mazda,Mazda6,2022,76743,Good,Petrol,Automatic
36959,Toyota,Camry,2016,203436,Poor,Hybrid,Automatic
45194,Mazda,Mazda6,2017,182704,Fair,Petrol,Automatic
79785,Nissan,Navara,2023,54938,Good,Petrol,Automatic
78925,Toyota,Hilux,2022,66495,Good,Petrol,Automatic
65715,Toyota,Hilux,2021,88044,Good,Petrol,Automatic
81545,Nissan,Navara,2023,50558,Very Good,Diesel,Manual
310563,Lexus,RX,2023,46578,Very Good,Petrol,Automatic
57974,Mazda,Mazda2,2021,62648,Very Good,Petrol,Automatic
49383,Toyota,Hilux,2019,74364,Good,Petrol,Automatic
53676,Honda,BR-V,2021,67936,Very Good,Petrol,Automatic
118101,Toyota,Corolla,2024,13620,Excellent,Petrol,Automatic
35907,Honda,Accord,2016,234162,Fair,Petrol,Automatic
115404,Nissan,X-Trail,2023,51844,Very Good,Petrol,Automatic
137664,Lexus,NX,2020,134370,Fair,Hybrid,Automatic
37756,Toyota,Hilux,2017,149016,Good,Petrol,Automatic
54223,Toyota,Yaris,2022,74130,Good,Petrol,Automatic
95269,Toyota,Vios,2024,12955,Excellent,Petrol,Automatic
92759,Honda,BR-V,2024,26696,Excellent,Petrol,Automatic
80862,Mazda,Mazda3,2021,68052,Good,Petrol,Automatic
50051,Lexus,NX,2014,303930,Fair,Petrol,Automatic
20825,Honda,Jazz,2017,206320,Fair,Petrol,CVT
171748,Lexus,NX,2020,79505,Good,Petrol,Automatic
55972,Honda,CR-V,2019,83268,Fair,Petrol,Automatic
30170,Mazda,Mazda2,2018,103460,Fair,Petrol,Automatic
49457,Lexus,IS,2015,192870,Fair,Petrol,Automatic
35007,Nissan,Serena,2017,162112,Fair,Petrol,Automatic
294931,Lexus,ES,2024,26515,Excellent,Petrol,Automatic
43916,Honda,Accord,2017,209648,Fair,Petrol,Automatic
381962,Lexus,RX,2024,19003,Excellent,Hybrid,Automatic
71604,Honda,City,2023,33322,Excellent,Petrol,CVT
247827,Lexus,IS,2024,24308,Excellent,Petrol,Automatic
49562,Honda,Jazz,2021,86476,Very Good,Petrol,Automatic
64631,Honda,Jazz,2023,55620,Good,Petrol,CVT
67677,Toyota,Hilux,2021,62252,Very Good,Petrol,Manual
56070,Nissan,X-Trail,2020,131415,Fair,Petrol,Automatic
86484,Honda,City,2024,21059,Excellent,Petrol,Automatic
80138,Mazda,Mazda3,2021,87596,Good,Petrol,Automatic
174310,Mazda,Mazda6,2024,20709,Excellent,Petrol,Automatic
74453,Nissan,Almera,2024,12667,Excellent,Petrol,CVT
86296,Honda,City,2024,21267,Excellent,Petrol,CVT
26483,Honda,Jazz,2018,145229,Fair,Petrol,CVT
335248,Lexus,NX,2024,22064,Excellent,Hybrid,Automatic
22600,Nissan,Navara,2015,144470,Fair,Diesel,Automatic
53973,Honda,Jazz,2022,82983,Very Good,Petrol,CVT
173195,Lexus,ES,2021,50472,Good,Petrol,Automatic
19209,Nissan,Almera,2016,124722,Fair,Petrol,CVT
50994,Honda,Accord,2017,221752,Good,Hybrid,Automatic
48081,Honda,Civic,2019,102048,Fair,Petrol,Automatic
57081,Honda,BR-V,2021,71608,Very Good,Petrol,Automatic
25349,Mazda,Mazda3,2015,232240,Fair,Petrol,Automatic
30979,Nissan,Serena,2016,211617,Fair,Petrol,Automatic
295024,Lexus,RX,2023,55008,Very Good,Petrol,Automatic
36352,Toyota,Camry,2015,233300,Fair,Hybrid,Automatic
26985,Nissan,X-Trail,2014,160358,Fair,Petrol,Automatic
128736,Honda,Accord,2022,44565,Very Good,Petrol,Automatic
91939,Nissan,Serena,2022,58812,Very Good,Petrol,Automatic
52639,Lexus,NX,2015,255290,Poor,Hybrid,Automatic
121271,Mazda,Mazda3,2023,36202,Excellent,Petrol,Automatic
89391,Mazda,Mazda6,2020,72400,Very Good,Petrol,Automatic
66147,Mazda,CX-5,2019,119010,Good,Petrol,Automatic
179594,Toyota,Fortuner,2024,20991,Excellent,Diesel,Automatic
27444,Nissan,Almera,2018,130991,Good,Petrol,CVT
83711,Mazda,Mazda3,2021,54728,Very Good,Petrol,Automatic
56718,Honda,CR-V,2018,159355,Good,Petrol,Automatic
136644,Lexus,IS,2021,55648,Good,Petrol,Automatic
44875,Mazda,Mazda3,2018,110509,Fair,Petrol,Automatic
146044,Nissan,X-Trail,2024,18899,Excellent,Petrol,Automatic
201685,Lexus,NX,2021,83400,Very Good,Petrol,Automatic
96597,Mazda,Mazda3,2022,56244,Very Good,Petrol,Automatic
70295,Toyota,Yaris,2023,54518,Very Good,Petrol,Automatic
16556,Mazda,Mazda2,2016,186534,Poor,Petrol,Automatic
131183,Lexus,NX,2020,126335,Fair,Petrol,Automatic
55617,Nissan,Almera,2022,52821,Very Good,Petrol,CVT
83075,Nissan,X-Trail,2021,89540,Good,Petrol,Automatic
85315,Nissan,X-Trail,2021,68888,Good,Petrol,Automatic
177356,Mazda,Mazda6,2024,20107,Excellent,Petrol,Automatic
36309,Mazda,Mazda2,2020,117075,Fair,Petrol,Automatic
24374,Mazda,Mazda2,2017,127016,Fair,Petrol,Automatic
70981,Mazda,Mazda6,2020,100250,Fair,Petrol,Automatic
56627,Mazda,CX-5,2018,165403,Good,Petrol,Automatic
138334,Toyota,Camry,2022,41292,Very Good,Petrol,Automatic
